Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id,tissue_type,Isolation_source
ERR1924595,OTHER,198,151868100,PRJEB20380,SAMEA103972805,109394037,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"sra,run.zq,fastq","ncbi,s3,gs,ena","ena,ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982322,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2020-03-22T22:31:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
ERR1924597,OTHER,196,715405232,PRJEB20380,SAMEA103972806,471903845,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982324,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:04:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1924598,OTHER,196,440120789,PRJEB20380,SAMEA103972806,291187771,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982325,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:04:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1924600,OTHER,196,670499206,PRJEB20380,SAMEA103972806,438462650,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982327,SAMEA103972806,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample20_5_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:03:00Z,1,SAMEA103972806,NJ6 -mobilome20,ERP022529,NJ6 -mobilome20,cecum,urban sewer
ERR1924602,OTHER,199,753026353,PRJEB20380,SAMEA103972807,482448562,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982329,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:03:00Z,1,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1924603,OTHER,200,759128824,PRJEB20380,SAMEA103972807,473226016,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982330,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:03:00Z,1,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1924605,OTHER,199,757335389,PRJEB20380,SAMEA103972807,479195773,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982332,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:03:00Z,1,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1924606,OTHER,200,413672815,PRJEB20380,SAMEA103972807,256626185,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982333,SAMEA103972807,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample22_5_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:03:00Z,1,SAMEA103972807,BI1 - mobilome22,ERP022529,BI1 - mobilome22,cecum,hospital sewer
ERR1924607,OTHER,199,750589717,PRJEB20380,SAMEA103972808,484097345,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982334,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1924608,OTHER,199,752684061,PRJEB20380,SAMEA103972808,476678958,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982335,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1924609,OTHER,199,461142411,PRJEB20380,SAMEA103972808,293313639,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982336,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1924611,OTHER,199,694409829,PRJEB20380,SAMEA103972808,436038433,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-12,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982338,SAMEA103972808,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample23_5_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972808,BI2 - mobilome23,ERP022529,BI2 - mobilome23,cecum,hospital sewer
ERR1924612,OTHER,199,720392162,PRJEB20380,SAMEA103972809,462829600,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982339,SAMEA103972809,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample24_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972809,BI3 - mobilome23,ERP022529,BI3 - mobilome23,cecum,hospital sewer
ERR1924613,OTHER,199,534181296,PRJEB20380,SAMEA103972809,341944354,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2011-01-13,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982340,SAMEA103972809,Denmark,Europe,Denmark,Bispebjerg,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample24_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:02:00Z,1,SAMEA103972809,BI3 - mobilome23,ERP022529,BI3 - mobilome23,cecum,hospital sewer
ERR1924615,OTHER,198,143061974,PRJEB20380,SAMEA103972810,90788456,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2010-11-04,public,"run.zq,sra,fastq","ena,s3,gs,ncbi","ena,s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982342,SAMEA103972810,Denmark,Europe,Denmark,Østerbro,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample6_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-17T05:50:00Z,2,SAMEA103972810,RH4 - mobilome6,ERP022529,RH4 - mobilome6,cecum,hospital sewer
ERR1924617,OTHER,195,699191712,PRJEB20380,SAMEA103972811,473124538,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982344,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:01:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
ERR1924618,OTHER,196,708784369,PRJEB20380,SAMEA103972811,467892024,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982345,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:01:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
ERR1924619,OTHER,196,215535847,PRJEB20380,SAMEA103972811,141931414,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982346,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:01:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
ERR1924621,OTHER,196,501980598,PRJEB20380,SAMEA103972811,328325155,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-03-23,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982348,SAMEA103972811,uncalculated,uncalculated,Falkland Islands (Islas Malvinas),falkla,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample9_5_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:01:00Z,1,SAMEA103972811,FK3 - mobilome9,ERP022529,FK3 - mobilome9,cecum,
ERR1938090,OTHER,198,689399306,PRJEB20380,SAMEA103972802,454154075,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998623,SAMEA103972802,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:24:50Z,public,Illumina HiSeq 2000,Sample15_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:57:00Z,1,SAMEA103972802,NJ1 - mobilome15,ERP022529,NJ1 - mobilome15,cecum,urban sewer
ERR1938091,OTHER,199,740692566,PRJEB20380,SAMEA103972804,479139672,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998624,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:57:00Z,1,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1938092,OTHER,199,743457301,PRJEB20380,SAMEA103972804,468972576,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1998625,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T20:57:00Z,1,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
